DATE,DCBPPRIV
2008-01-01,66
2008-02-01,60
2008-03-01,27
2008-04-01,166
2008-05-01,15
2008-06-01,8
2008-07-01,140
2008-08-01,10
2008-09-01,2
2008-10-01,30
2008-11-01,1
2008-12-01,11
2009-01-01,8
2009-02-01,3
2009-03-01,248
2009-04-01,25
2009-05-01,5
2009-06-01,5
2009-07-01,25
2009-08-01,18
2009-09-01,120
2009-10-01,396
2009-11-01,1
2009-12-01,24
2010-01-01,20
2010-02-01,5
2010-03-01,274
2010-04-01,23
2010-05-01,8
2010-06-01,0
2010-07-01,101
2010-08-01,117
2010-09-01,17
2010-10-01,11
2010-11-01,45
2010-12-01,83
2011-01-01,472
2011-02-01,81
2011-03-01,161
2011-04-01,30
2011-05-01,70
2011-06-01,617
2011-07-01,19
2011-08-01,656
2011-09-01,214
2011-10-01,240
2011-11-01,866
2011-12-01,427
2012-01-01,34
2012-02-01,61
2012-03-01,165
2012-04-01,35
2012-05-01,612
2012-06-01,349
2012-07-01,399
2012-08-01,512
2012-09-01,391
2012-10-01,404
2012-11-01,626
2012-12-01,532
2013-01-01,55
2013-02-01,236
2013-03-01,44
2013-04-01,53
2013-05-01,680
2013-06-01,142
2013-07-01,556
2013-08-01,48
2013-09-01,478
2013-10-01,907
2013-11-01,22
2013-12-01,34
2014-01-01,300
2014-02-01,849
2014-03-01,68
2014-04-01,95
2014-05-01,41
2014-06-01,55
2014-07-01,922
2014-08-01,779
2014-09-01,394
2014-10-01,506
2014-11-01,51
2014-12-01,129
2015-01-01,22
2015-02-01,344
2015-03-01,402
2015-04-01,244
2015-05-01,649
2015-06-01,789
2015-07-01,317
2015-08-01,278
2015-09-01,403
2015-10-01,656
2015-11-01,781
2015-12-01,71
2016-01-01,50
2016-02-01,30
2016-03-01,617
2016-04-01,25
2016-05-01,363
2016-06-01,927
2016-07-01,67
2016-08-01,444
2016-09-01,1098
2016-10-01,679
2016-11-01,21
2016-12-01,369
2017-01-01,155
2017-02-01,245
2017-03-01,277
2017-04-01,374.0
2017-05-01,318.0
2017-06-01,389.0
2017-07-01,455.0
2017-08-01,437.0
2017-09-01,329.0
2017-10-01,1395.0
2017-11-01,860.0
