,Features,p_adftest,p_kpsstest,p_dwtest,index_adftest,index_kpsstest,index_dwtest
0,Median Sale Price,0.001852912649539064,0.04815760105391182,0.001460216766436173,1,1,1
1,Median Sale Price MoM,4.774490456853568e-07,0.1,2.3510268804828773,1,0,0
2,Homes Sold,0.9371101303266457,0.1,0.02136035700685993,0,0,1
3,Homes Sold MoM,0.07690392108673544,0.1,2.0400857150184,0,0,0
4,New Listings,0.9164762849067117,0.1,0.042327777434638184,0,0,1
5,New Listings MoM,0.4836518748777136,0.1,1.955754758710424,0,0,0
6,Inventory,0.012277436728442394,0.08524655778726817,0.005105290275259441,1,0,1
7,Inventory MoM,0.9186213388521114,0.1,1.0570993555797863,0,0,0
8,Days on Market,0.047515784626805065,0.1,0.04371310799670239,1,0,1
9,Days on Market MoM,0.2668511906153538,0.1,1.4716669171802195,0,0,0
10,Average Sale To List%,0.1568146593647714,0.1,7.632328641318292e-06,0,0,1
11,Average Sale To List MoM,0.402250830873494,0.1,2.166666666666667,0,0,0
12,WDXRSA,0.07572612100843254,0.1,2.0332781145419617e-05,0,0,1
13,US_UR,0.9626250776453474,0.011665004124136189,0.0005252038148895283,0,1,1
14,DMV_UR,0.4344899199618296,0.1,0.0031559659141449183,0,0,1
15,DC_UR,0.958022420798808,0.1,0.0001490056405144891,0,0,1
16,FED_EM,0.5295122824420502,0.049550809841311806,1.4222335431968772e-05,0,1,1
17,FIN_EM,0.6092237160416583,0.1,1.3964325771386321e-05,0,0,1
18,HOS_EM,0.0543297169078272,0.1,2.4027505075896355e-05,0,0,1
19,DC_PER,2.5778351757895444e-14,0.1,0.7501439567538936,1,0,0
20,DMV_PER,0.29893325786350433,0.06056829778194067,0.12101310925611586,0,0,0
21,DMV_PER_1,0.11653976025244311,0.1,0.02507267194837541,0,0,1
22,Median Sale Price_log,0.004465750809732129,0.04339900714836804,9.737131517841961e-06,1,1,1
23,Homes Sold_log,0.9520416150598188,0.1,0.0005685061579875445,0,0,1
24,New Listings_log,0.8721050644151311,0.1,0.001215979085258334,0,0,1
25,Inventory_log,0.019009780551838034,0.1,0.00010500953763852618,1,0,1
26,Days on Market_log,0.02845512687129823,0.1,0.0039417560379019145,1,0,1
27,Average Sale To List%_log,0.15647952812011223,0.1,3.627027454647343e-07,0,0,1
28,WDXRSA_log,0.13438850610075753,0.1,8.041367098218297e-07,0,0,1
29,US_UR_log,0.4726850394748045,0.1,0.00019925111819259228,0,0,1
30,DMV_UR_log,0.12535410276374342,0.04832403013363604,0.001650141816112532,0,1,1
31,DC_UR_log,0.08703533838026267,0.1,3.605873495837327e-05,0,0,1
32,FED_EM_log,0.5408869880835924,0.051375266292816205,3.9642022954189963e-07,0,0,1
33,FIN_EM_log,0.5987239374692168,0.1,6.425600378186674e-07,0,0,1
34,HOS_EM_log,0.018225100868489684,0.0389976965230614,7.636597314402413e-07,1,1,1
35,DMV_PER_log,0.3957621546615447,0.07473243493320145,0.0021673628329896967,0,0,1
36,DMV_PER_1_log,0.06739888528454135,0.1,0.0006080074519506062,0,0,1
